,Type,HomeAdv,Win,PrevDiffHome1,PrevDiffAway1,PrevDiffHome2,PrevDiffAway2,PrevDiffHome3,PrevDiffAway3,PrevDiffHome4,PrevDiffAway4,PrevDiffHome5,PrevDiffAway5,PrevDiffHome6,PrevDiffAway6,PrevDiffHome7,PrevDiffAway7,PrevDiffHome8,PrevDiffAway8,PrevDiffHome9,PrevDiffAway9,PrevDiffHome10,PrevDiffAway10,dist_home,dist_away,TravelHome,TravelAway,TZDeltaHome,TZDeltaAway,team_a_ranking,team_a_points,team_b_ranking,team_b_points,Cont,ContQ,FSS,KFC,WM,WM-Q
4455,ContQ,1,1.0,0,0,-3,-3,1,1,2,1,-1,1,3,0,-1,-1,-2,0,-3,0,-6,3,6.7201227709295015,3610.34726782516,0.0,0.0,0.0,0.0,172.0,120.21,85.0,396.68,0,1,0,0,0,0
4456,ContQ,0,0.0,0,1,2,2,0,1,1,-2,0,0,0,1,3,1,1,-2,0,2,-3,3,9950.346836815574,10891.55855888995,0.0,0.0,0.0,0.0,61.0,550.86,70.0,499.75,0,1,0,0,0,0
4457,ContQ,1,1.0,-2,0,2,-1,-1,0,0,1,-2,0,-3,2,-1,1,0,4,2,-2,-1,3,0.0,3994.7609813029467,0.0,0.0,0.0,0.0,86.0,392.24,67.0,506.39,0,1,0,0,0,0
4458,FSS,1,1.0,1,-1,1,1,0,-1,-3,5,5,4,-3,15,8,-1,3,-2,1,-2,4,4,0.0,538.7025336401491,0.0,0.0,0.0,0.0,194.0,46.75,181.0,80.24,0,0,1,0,0,0
4459,FSS,1,-1.0,-3,-4,0,-2,-1,-1,-1,1,-2,0,-1,0,-6,1,-2,-1,-7,-1,-4,-5,0.0,488.4554380173069,0.0,0.0,0.0,0.0,199.0,26.53,176.0,109.01,0,0,1,0,0,0
4460,FSS,1,1.0,-1,-3,-1,-1,-1,6,0,-3,0,1,1,0,0,-5,1,10,3,-1,0,-1,0.0,713.2695084944755,339.01684941711625,0.0,0.0,0.0,151.0,192.23,159.0,149.93,0,0,1,0,0,0
4461,FSS,1,-1.0,-7,-2,-2,1,-3,0,-5,-3,2,0,1,-1,-10,0,-4,-2,-6,-3,-3,-1,0.0,329.85055463733465,457.6229605532232,0.0,0.0,0.0,204.0,0.0,170.0,127.18,0,0,1,0,0,0
4462,FSS,1,-1.0,-1,3,1,-3,-2,1,-1,-3,-2,0,-1,2,0,4,2,4,0,0,-2,1,0.0,947.189160978508,339.0948793535737,0.0,0.0,0.0,113.0,298.2,121.0,283.63,0,0,1,0,0,0
4463,FSS,1,1.0,-1,0,3,3,1,-2,3,-1,1,0,1,1,0,1,5,-1,-1,0,1,-3,0.0,811.5849045502632,0.0,0.0,0.0,0.0,10.0,1095.41,35.0,753.58,0,0,1,0,0,0
4464,FSS,0,1.0,1,1,-1,-2,0,-2,-1,0,-1,0,0,0,0,-3,-3,2,0,-1,-2,-6,3547.891963517105,1677.3963802703347,0.0,0.0,0.0,0.0,125.0,275.82,112.0,299.66,0,0,1,0,0,0
