,Type,HomeAdv,Win,PrevDiffHome1,PrevDiffAway1,PrevDiffHome2,PrevDiffAway2,PrevDiffHome3,PrevDiffAway3,PrevDiffHome4,PrevDiffAway4,PrevDiffHome5,PrevDiffAway5,PrevDiffHome6,PrevDiffAway6,PrevDiffHome7,PrevDiffAway7,PrevDiffHome8,PrevDiffAway8,PrevDiffHome9,PrevDiffAway9,PrevDiffHome10,PrevDiffAway10,dist_home,dist_away,TravelHome,TravelAway,TZDeltaHome,TZDeltaAway,team_a_ranking,team_a_points,team_b_ranking,team_b_points,Cont,ContQ,FSS,KFC,WM,WM-Q
1903,Cont,0,1.0,1,3,1,1,1,6,1,-3,1,1,3,-1,0,1,2,-3,2,3,0,0,1429.0703530427775,2033.7222563361263,210.22419880970887,24.567428681288604,0.0,0.0,5.0,1823.2244584098896,23.0,1705.4298651118695,1,0,0,0,0,0
1904,Cont,0,-1.0,0,-1,1,1,2,-1,1,0,1,-2,1,1,5,1,1,-3,1,0,0,3,1393.2634366251532,1328.2555279183694,45.0332645192473,147.5839475464852,0.0,0.0,14.0,1750.3196704714499,16.0,1723.62148162943,1,0,0,0,0,0
1905,FSS,0,1.0,1,2,1,-2,4,0,0,-3,3,0,0,-2,-3,0,1,-1,3,-2,-1,-2,2732.573022262668,3094.4030349914137,0.0,255.55005844305717,0.0,-0.16666666666666666,161.0,1304.5569955255198,202.0,940.892295109697,0,0,1,0,0,0
1906,FSS,1,0.0,1,-1,2,3,0,3,0,-1,6,-4,4,2,-5,-3,-1,-1,1,-1,-3,0,0.0,766.6501753291717,0.0,191.6625438322929,0.0,0.125,172.0,1241.61537687372,170.0,1252.17128582913,0,0,1,0,0,0
1907,FSS,1,0.0,0,-5,1,-1,-7,-2,-3,-3,-1,0,-1,2,1,2,-1,3,1,0,3,-2,664.1166082330765,3216.911060753695,0.0,0.0,0.0,0.0,124.0,1407.2246509761499,125.0,1406.1840906222699,0,0,1,0,0,0
1908,Cont,0,-1.0,1,2,2,2,2,-1,0,-2,-2,0,2,1,2,1,3,2,1,0,3,0,751.5303497440077,1503.7407995403244,46.63815330474653,0.0,0.0,0.0,8.0,1801.47582909996,13.0,1753.01382926178,1,0,0,0,0,0
1909,Cont,1,-1.0,-1,-2,3,2,2,-1,-4,1,-1,0,-1,0,-1,1,2,1,-1,-1,1,0,0.0,1847.2936415665522,0.0,46.63815330474653,0.0,0.0,25.0,1704.1695413824802,18.0,1717.88839575262,1,0,0,0,0,0
1910,Cont,0,1.0,1,2,0,1,1,0,0,4,-3,3,1,0,-2,4,3,-3,1,0,6,2,157.1078553351887,738.233066670546,58.810600622466325,0.0,0.0,0.0,12.0,1757.41362394662,6.0,1809.6551226186896,1,0,0,0,0,0
1911,Cont,1,0.0,-1,-2,4,0,0,1,-1,0,-3,-3,0,2,-1,2,1,0,-2,2,-2,-1,0.0,556.2510878811307,0.0,58.810600622466325,0.0,0.0,69.0,1562.6396172522198,27.0,1698.7351229799099,1,0,0,0,0,0
1912,WM-Q,1,-1.0,-3,-1,-3,-3,1,0,-1,-2,0,-1,-3,-2,0,1,6,-2,-2,-1,0,1,0.0,5988.867351058648,0.0,1197.7734702117293,0.0,-0.6,153.0,1325.36028308847,136.0,1379.4880871078901,0,0,0,0,0,1
