,Unnamed: 0,FT H,FT G,AET H,AET G,Type,HomeAdv,Win,PrevDiffHome1,PrevDiffAway1,PrevDiffHome2,PrevDiffAway2,PrevDiffHome3,PrevDiffAway3,PrevDiffHome4,PrevDiffAway4,PrevDiffHome5,PrevDiffAway5,PrevDiffHome6,PrevDiffAway6,PrevDiffHome7,PrevDiffAway7,PrevDiffHome8,PrevDiffAway8,PrevDiffHome9,PrevDiffAway9,PrevDiffHome10,PrevDiffAway10,dist_home,dist_away,TravelHome,TravelAway,TZDeltaHome,TZDeltaAway,team_a_ranking,team_a_points,team_b_ranking,team_b_points
1435,1435,1,0,,,FSS,1,1.0,1,0,1,1,2,0,3,0,0,1,-1,-5,1,-3,0,0,2,1,5,-1,8.40890398643825,693.4182822551481,0.0,0.0,0.0,0.0,105.0,0.0,126.0,0.0
1436,1436,0,0,,,FSS,0,0.0,-4,1,0,0,0,0,-2,-2,1,-1,-2,-3,-3,-1,-4,2,-1,-1,-1,-1,922.5284830338956,214.72938487407976,0.0,0.0,0.0,0.0,112.0,0.0,111.0,0.0
1437,1437,1,1,,,FSS,1,0.0,2,0,0,-4,-1,0,-1,0,0,-2,0,1,0,-2,-2,-3,-1,-4,-1,-1,0.0,922.5284830338956,0.0,0.0,0.0,0.0,181.0,0.0,112.0,0.0
1438,1438,2,1,,,FSS,1,1.0,1,0,-1,0,1,1,1,-1,0,2,0,0,0,-1,-4,2,2,-2,-1,0,0.0,669.9518293624018,0.0,0.0,0.0,0.0,103.0,0.0,100.0,0.0
1439,1439,1,2,,,FSS,0,-1.0,-1,4,0,-1,1,-2,0,2,0,1,1,-2,-5,0,-3,-1,0,1,1,0,2450.315534969917,1152.4178858822445,432.43744719487165,0.0,0.0,0.0,126.0,0.0,119.0,0.0
1440,1440,0,7,,,FSS,0,-1.0,1,2,-3,-1,-2,0,-3,1,-4,0,-3,-1,-4,0,-6,0,-5,0,-1,2,2100.349579863295,1084.2465091737802,0.0,0.0,0.0,0.0,175.0,0.0,94.0,0.0
1441,1441,3,0,,,FSS,0,1.0,-1,-1,0,-6,1,-4,-1,-5,-1,-2,-1,-3,0,-3,1,-2,2,-7,-3,-3,1163.3489952641405,1188.4201936941554,0.0,0.0,0.0,0.0,116.0,0.0,194.0,0.0
1442,1442,2,3,,,FSS,0,-1.0,-7,-1,1,-1,-3,0,-2,1,-3,0,-4,0,-3,1,-4,-5,-6,-3,-5,0,2100.349579863295,2450.315534969917,0.0,0.0,0.0,0.0,175.0,0.0,126.0,0.0
1443,1443,0,2,,,FSS,0,-1.0,1,7,4,2,-1,-1,-2,0,2,1,1,0,-2,-1,0,0,-1,0,1,0,1152.4178858822445,1084.2465091737802,0.0,0.0,0.0,0.0,119.0,0.0,94.0,0.0
1444,1444,0,3,,,FSS,1,-1.0,0,2,0,-2,2,2,2,-2,1,3,0,-1,0,0,-2,0,0,3,0,-1,0.0,2412.870396157244,0.0,0.0,0.0,0.0,76.0,0.0,122.0,0.0
1445,1445,1,0,,,FSS,0,1.0,3,-1,-1,0,0,0,1,1,-1,-1,-1,2,-1,0,0,-1,1,2,2,-2,1163.3489952641405,669.9518293624018,0.0,0.0,0.0,0.0,116.0,0.0,100.0,0.0
1446,1446,1,0,,,FSS,1,1.0,1,-3,1,-1,-1,-6,1,-4,1,-5,0,-2,0,-3,0,-3,-4,-2,2,-7,0.0,1188.4201936941554,0.0,0.0,0.0,0.0,103.0,0.0,194.0,0.0
1447,1447,0,9,,,FSS,0,-1.0,-1,-2,-7,1,1,4,-3,-1,-2,-2,-3,2,-4,1,-3,-2,-4,0,-6,-1,2100.349579863295,1152.4178858822445,0.0,0.0,0.0,0.0,175.0,0.0,119.0,0.0
1448,1448,2,0,,,FSS,0,1.0,-1,-1,-1,-3,0,-1,0,-6,1,-4,-1,-5,2,-2,0,-3,-1,-3,2,-2,669.9518293624018,1188.4201936941554,0.0,0.0,0.0,0.0,100.0,0.0,194.0,0.0
1449,1449,3,2,,,FSS,0,1.0,1,2,-1,7,-1,2,0,-1,1,0,0,1,0,0,1,-1,-5,0,-3,0,2450.315534969917,1084.2465091737802,0.0,0.0,0.0,0.0,126.0,0.0,94.0,0.0
1450,1450,1,2,,,FSS,1,-1.0,-3,-2,-3,3,-2,-1,0,5,4,0,-3,-2,2,-1,6,-8,-1,-5,-4,2,0.0,1677.2662894233627,0.0,151.70790573233938,0.0,-0.038461538461538464,138.0,0.0,159.0,0.0
1451,1451,0,0,,,FSS,1,0.0,1,1,1,3,1,-1,-1,0,1,1,1,-1,0,-1,0,-1,0,0,-4,1,0.0,1163.3489952641405,0.0,0.0,0.0,0.0,103.0,0.0,116.0,0.0
1452,1452,0,0,,,FSS,0,0.0,-2,1,-1,1,-2,1,1,2,-2,3,-1,0,1,-1,4,1,-1,0,-1,2,1394.1793358928758,2153.2944081394176,0.0,180.01609161314957,0.0,0.0,108.0,0.0,105.0,0.0
1453,1453,4,2,,,FSS,1,1.0,-1,1,-3,-2,-3,3,-2,-1,0,5,4,0,-3,-2,2,-1,6,-8,-1,-5,0.0,1677.2662894233627,0.0,0.0,0.0,0.0,138.0,0.0,159.0,0.0
1454,1454,4,2,,,FSS,1,1.0,-3,0,0,-2,0,5,2,0,2,0,1,-1,0,-3,0,4,-2,2,0,5,0.0,1930.0431360219925,0.0,0.0,0.0,0.0,76.0,0.0,135.0,0.0
1455,1455,2,1,,,FSS,0,1.0,0,1,1,1,3,-1,-1,-1,0,0,1,1,-1,0,-1,0,-1,1,0,-5,1163.3489952641405,2450.315534969917,0.0,0.0,0.0,0.0,109.0,0.0,132.0,0.0
1456,1456,1,2,,,FSS,1,-1.0,0,0,1,1,1,1,1,1,-1,2,1,3,1,0,0,-1,0,1,0,0,0.0,2587.3696089766163,0.0,235.3468668338172,0.0,0.0,89.0,0.0,92.0,0.0
1457,1457,1,1,,,FSS,0,0.0,-1,2,2,-1,7,-1,2,0,-1,0,0,1,1,-1,0,2,-1,0,0,-1,1084.2465091737802,669.9518293624018,0.0,0.0,0.0,0.0,76.0,0.0,110.0,0.0
1458,1458,2,1,,,FSS,0,1.0,1,1,0,0,1,1,1,3,1,-1,2,0,3,1,0,-1,-1,-1,1,-1,2587.3696089766163,1163.3489952641405,0.0,0.0,0.0,0.0,92.0,0.0,109.0,0.0
1459,1459,0,1,,,FSS,0,-1.0,0,0,-1,9,2,-2,7,1,2,4,-1,-1,0,-2,1,2,0,1,-1,-2,1084.2465091737802,1152.4178858822445,0.0,0.0,0.0,0.0,76.0,0.0,99.0,0.0
1460,1460,2,2,,,FSS,0,0.0,1,1,1,0,0,9,1,-2,1,1,1,4,2,-1,3,-2,0,2,-1,1,2587.3696089766163,1152.4178858822445,0.0,0.0,0.0,0.0,92.0,0.0,99.0,0.0
1461,1461,0,2,,,FSS,0,-1.0,-1,-1,1,0,0,-1,1,2,3,7,-1,2,0,-1,1,0,-1,1,-1,0,1163.3489952641405,1084.2465091737802,0.0,0.0,0.0,0.0,109.0,0.0,76.0,0.0
1462,1462,3,2,,,FSS,1,1.0,1,0,0,2,6,9,5,-1,0,-1,-4,3,2,5,0,-1,2,-1,-2,2,0.0,4316.768508411797,0.0,0.0,0.0,0.0,121.0,0.0,64.0,0.0
1463,1463,2,1,,,FSS,1,1.0,0,-2,1,0,0,1,0,-2,-2,-6,-1,-1,-3,-2,-1,-2,2,0,-1,-1,0.0,666.7118262840337,0.0,0.0,0.0,0.0,117.0,0.0,156.0,0.0
1464,1464,2,2,,,FSS,0,0.0,4,-1,3,0,0,2,-1,9,0,-1,-1,-1,1,3,6,5,7,-1,-1,-1,3719.369166759578,4316.768508411797,0.0,0.0,0.0,0.0,115.0,0.0,64.0,0.0
1465,1465,1,0,,,FSS,1,1.0,1,0,1,4,0,3,6,0,5,-1,0,0,-4,-1,2,1,0,6,2,7,0.0,3719.369166759578,0.0,0.0,0.0,0.0,121.0,0.0,115.0,0.0
1466,1466,3,2,,,FSS,1,1.0,0,0,0,3,-1,0,-1,-3,0,-1,-1,0,10,4,1,0,2,0,-2,1,0.0,1283.2033303947856,0.0,0.0,0.0,0.0,119.0,0.0,134.0,0.0
1467,1467,3,0,,,FSS,1,1.0,1,-2,0,-1,-3,-2,1,1,0,1,0,-1,0,1,0,0,3,1,2,-1,680.1909351715997,5437.53160964145,0.0,0.0,0.0,0.0,39.0,0.0,114.0,0.0
1468,1468,1,2,,,FSS,1,-1.0,0,-1,2,0,1,3,-1,2,0,-2,2,0,4,0,3,0,0,3,2,1,0.0,6078.33905584188,0.0,0.0,0.0,0.0,47.0,0.0,65.0,0.0
1469,1469,1,0,,,FSS,1,1.0,-1,1,0,-1,2,0,1,3,-1,2,0,-2,2,0,4,0,3,0,0,3,0.0,6078.33905584188,0.0,0.0,0.0,0.0,47.0,0.0,65.0,0.0
1470,1470,2,0,,,FSS,0,1.0,1,0,-1,1,0,1,2,0,0,1,2,1,-1,1,1,2,1,3,-3,0,3289.1289308887035,4380.0004468656925,0.0,0.0,0.0,0.0,20.0,0.0,92.0,0.0
1471,1471,1,0,,,FSS,0,1.0,3,-1,1,-1,0,2,-3,1,1,6,0,1,0,0,0,0,0,2,3,1,2317.1984336398937,6588.362440935273,421.6739937946833,0.0,0.4,0.0,39.0,0.0,46.0,0.0
1472,1472,0,0,,,FSS,1,0.0,-5,4,-1,7,5,-3,-1,0,1,4,0,-3,0,-1,0,2,1,-2,-2,1,196.8301784055087,5861.603990949878,0.0,0.0,0.0,0.0,100.0,0.0,81.0,0.0
1473,1473,0,0,,,FSS,1,0.0,-5,0,-1,2,5,0,1,1,1,7,0,1,-1,2,0,2,0,0,-2,-4,0.0,1154.6912336959992,0.0,0.0,0.0,0.0,87.0,0.0,41.0,0.0
1474,1474,6,0,,,FSS,0,1.0,3,-2,-2,0,4,1,0,1,2,0,0,1,2,1,-1,1,-1,2,0,3,3103.262767770195,4380.0004468656925,0.0,0.0,0.0,0.0,33.0,0.0,92.0,0.0
1475,1475,0,2,,,FSS,1,-1.0,1,5,0,-1,0,-1,-1,0,-1,0,0,5,-1,3,10,3,1,1,2,1,0.0,6066.203409662483,0.0,0.0,0.0,0.0,119.0,0.0,37.0,0.0
1476,1476,3,1,,,FSS,1,1.0,-3,-3,1,-2,2,-1,4,-2,0,1,0,1,1,-1,0,1,4,0,1,1,0.0,5579.201506344654,0.0,765.9825978441138,0.0,-0.2857142857142857,38.0,0.0,114.0,0.0
1477,1477,2,0,,,FSS,1,1.0,3,-1,0,1,2,-1,-2,0,1,3,2,2,0,-2,0,0,6,0,2,0,385.77332694241477,6512.116385575572,0.0,355.1671926688515,0.0,-0.25,39.0,0.0,65.0,0.0
1478,1478,3,3,,,FSS,0,0.0,-3,1,1,3,-1,1,-2,0,0,-3,2,1,3,0,0,0,0,0,5,0,5766.213757723549,3796.280816438407,0.0,2021.0637032211525,0.0,-1.3333333333333333,73.0,0.0,39.0,0.0
1479,1479,2,0,,,FSS,1,1.0,2,-3,-1,1,0,0,-2,0,1,2,0,0,-2,2,-1,0,0,0,4,-2,498.89640993691177,457.6716065440737,0.0,0.0,0.0,0.0,77.0,0.0,75.0,0.0
1480,1480,3,2,,,FSS,0,1.0,0,2,-1,-3,-2,-2,0,-2,0,-6,3,0,1,0,0,1,6,-2,2,2,244.65717107963496,664.2227747393814,0.0,0.0,0.0,0.0,128.0,0.0,151.0,0.0
1481,1481,1,0,,,FSS,1,1.0,0,-3,1,-1,-2,-3,4,2,1,1,6,-3,1,3,5,0,5,3,1,-5,45.453627565128315,815.9019957274797,0.0,0.0,0.0,0.0,128.0,0.0,101.0,0.0
1482,1482,0,0,,,FSS,1,0.0,7,0,3,-5,1,-1,3,5,-1,1,4,1,1,0,3,-1,2,0,-3,0,0.0,1732.8262379782548,0.0,577.6087459927518,0.0,-0.3333333333333333,107.0,0.0,87.0,0.0
1483,1483,0,1,,,FSS,1,-1.0,0,1,0,-3,0,0,0,3,0,1,0,0,0,1,1,5,0,3,-1,-1,0.0,9738.517786897795,0.0,0.0,0.0,0.0,70.0,0.0,24.0,0.0
1484,1484,2,1,,,FSS,1,1.0,2,0,3,-3,0,1,2,-1,-2,-2,1,0,2,2,0,3,0,0,6,0,286.925643867944,5195.025772435393,41.983755035342064,192.2904015370852,0.0,0.0,39.0,0.0,72.0,0.0
1485,1485,2,1,,,FSS,1,1.0,2,-1,2,-1,-1,0,0,1,-2,0,1,1,0,-1,-2,0,-1,1,0,1,498.89640993691177,766.596132058933,0.0,0.0,0.0,0.0,78.0,0.0,101.0,0.0
1486,1486,1,2,,,FSS,0,-1.0,-2,2,1,-3,2,1,0,2,3,4,0,0,0,0,-1,1,-1,0,2,4,792.9446191080863,1742.081107922138,0.0,435.5202769805345,0.0,0.0,94.0,0.0,40.0,0.0
1487,1487,0,2,,,FSS,1,-1.0,2,-3,-1,0,-3,-5,-3,-2,-2,-4,0,-3,4,0,-3,-1,2,0,6,-2,0.0,1556.1858171311285,0.0,0.0,0.0,0.0,147.0,0.0,196.0,0.0
1488,1488,1,0,,,FSS,1,1.0,0,-2,3,1,2,0,2,0,-2,-1,-4,-1,1,0,-1,-1,-2,10,0,1,0.0,434.02755641780936,0.0,108.50688910445228,0.0,0.0,100.0,0.0,115.0,0.0
1489,1489,0,1,,,FSS,1,-1.0,-2,2,2,-3,-1,0,-3,-5,-3,-2,-2,-4,0,-3,4,0,-3,-1,2,0,0.0,1556.1858171311285,0.0,0.0,0.0,0.0,147.0,0.0,196.0,0.0
